"HomePlanet","CryoSleep","Destination","Age","VIP","Group_id","Deck","Num","Side","Group_size","LuxuryExpenses","RegularExpenses"
"Earth","False","TRAPPIST-1e",40,"False",605,"F",110,"S",1,876,3
"Earth","True","PSO J318.5-22",37,"False",606,"G",93,"P",1,0,0
"Europa","True","TRAPPIST-1e",53,"False",613,"B",26,"P",2,0,0
"Europa","True","TRAPPIST-1e",42,"False",613,"B",26,"P",2,0,0
"Earth","False","TRAPPIST-1e",31,"False",616,"E",40,"S",1,2179,1317
"Mars","False","TRAPPIST-1e",18,"False",617,"F",130,"P",1,1644,588
"Mars","False","TRAPPIST-1e",51,"True",620,"F",132,"P",3,857,290
"Mars","False","TRAPPIST-1e",20,"False",620,"F",132,"P",3,8,1281
"Mars","False","55 Cancri e",19,"False",620,"F",132,"P",3,15,1435
"Earth","False","TRAPPIST-1e",22,"False",621,"E",41,"S",1,567,220
"Europa","False","55 Cancri e",41,"False",622,"B",27,"P",1,10260,1539
"Europa","False","TRAPPIST-1e",28,"False",624,"E",42,"S",1,22,2517
"Mars","True","55 Cancri e",0,"False",625,"F",111,"S",3,0,0
"Mars","True","TRAPPIST-1e",42,"False",625,"F",111,"S",3,0,0
"Mars","True","55 Cancri e",20,"False",625,"F",111,"S",3,0,0
"Europa","True","55 Cancri e",25,"False",626,"B",24,"S",3,0,0
"Europa","True","TRAPPIST-1e",22,"False",626,"B",24,"S",3,0,0
"Europa","False","TRAPPIST-1e",25,"True",626,"D",21,"S",3,1415,5718
"Mars","False","TRAPPIST-1e",45,"False",627,"D",22,"S",1,0,1057
"Earth","False","TRAPPIST-1e",19,"False",632,"F",134,"P",3,788,77
"Earth","False","PSO J318.5-22",16,"False",632,"E",37,"P",3,72,1460
"Earth","True","TRAPPIST-1e",18,"False",632,"G",97,"P",3,0,0
"Europa","True","TRAPPIST-1e",38,"False",640,"D",26,"P",2,0,0
"Europa","True","55 Cancri e",27,"False",640,"D",26,"P",2,0,0
"Mars","False","55 Cancri e",36,"False",648,"D",27,"P",2,748,222
"Mars","False","TRAPPIST-1e",21,"False",648,"D",27,"P",2,1378,1200
"Earth","False","TRAPPIST-1e",1,"False",649,"G",99,"P",1,0,0
"Europa","True","TRAPPIST-1e",25,"False",651,"D",28,"P",1,0,0
"Earth","True","PSO J318.5-22",3,"False",652,"G",96,"S",5,0,0
"Earth","False","TRAPPIST-1e",7,"False",652,"G",96,"S",5,0,0
"Earth","False","TRAPPIST-1e",0,"False",652,"G",96,"S",5,0,0
"Earth","False","TRAPPIST-1e",32,"False",652,"F",116,"S",5,634,0
"Earth","False","55 Cancri e",5,"False",652,"G",96,"S",5,0,0
"Earth","False","TRAPPIST-1e",79,"False",654,"G",100,"P",1,7,881
"Earth","False","TRAPPIST-1e",19,"False",662,"F",139,"P",1,57,691
"Earth","True","TRAPPIST-1e",30,"False",666,"G",100,"S",2,0,0
"Earth","False","TRAPPIST-1e",13,"False",666,"F",119,"S",2,1,875
"Mars","False","TRAPPIST-1e",53,"False",667,"D",29,"P",1,1101,1608
"Mars","False","TRAPPIST-1e",40,"False",670,"E",40,"P",2,715,643
"Mars","False","TRAPPIST-1e",32,"False",670,"E",40,"P",2,1279,20
"Earth","True","55 Cancri e",31,"False",673,"G",104,"P",1,0,0
"Earth","False","TRAPPIST-1e",63,"False",675,"E",47,"S",1,204,1415
"Mars","False","TRAPPIST-1e",18,"False",676,"F",120,"S",1,0,54
"Earth","True","TRAPPIST-1e",21,"False",681,"G",106,"P",1,0,0
"Earth","False","TRAPPIST-1e",14,"False",692,"F",124,"S",1,48,1790
"Earth","True","PSO J318.5-22",41,"False",694,"G",105,"S",1,0,0
"Earth","True","55 Cancri e",40,"False",695,"G",106,"S",1,0,0
"Earth","False","TRAPPIST-1e",58,"False",698,"F",125,"S",1,755,46
"Earth","False","TRAPPIST-1e",22,"False",700,"F",148,"P",1,309,286
"Earth","True","55 Cancri e",13,"False",706,"G",108,"P",1,0,0
"Europa","True","TRAPPIST-1e",16,"False",708,"B",29,"P",2,0,0
"Europa","True","55 Cancri e",13,"False",708,"B",29,"P",2,0,0
"Mars","False","TRAPPIST-1e",15,"False",711,"F",128,"S",1,1345,1020
"Mars","False","TRAPPIST-1e",42,"False",716,"E",51,"S",1,466,583
"Europa","True","TRAPPIST-1e",24,"False",717,"B",31,"P",7,0,0
"Europa","False","55 Cancri e",19,"False",717,"B",31,"P",7,1311,1503
"Europa","True","TRAPPIST-1e",25.4994969949175,"False",717,"B",31,"P",7,0,0
"Europa","True","TRAPPIST-1e",29,"False",717,"B",31,"P",7,0,0
"Europa","False","TRAPPIST-1e",15,"False",717,"B",31,"P",7,4681,437
"Europa","False","TRAPPIST-1e",38,"False",717,"B",31,"P",7,2650,3956
"Europa","True","55 Cancri e",49,"False",717,"B",31,"P",7,0,0
"Mars","True","TRAPPIST-1e",20,"False",720,"F",129,"S",3,0,0
"Mars","False","TRAPPIST-1e",28.754470774125,"False",720,"E",52,"S",3,0,0
"Mars","False","TRAPPIST-1e",19,"False",720,"D",26,"S",3,2228,350
"Earth","False","TRAPPIST-1e",46,"False",721,"F",130,"S",1,57,702
"Mars","False","TRAPPIST-1e",21,"False",722,"F",151,"P",1,559,728
"Earth","False","55 Cancri e",29,"False",723,"F",131,"S",1,539,33
"Earth","True","PSO J318.5-22",27.0866768598567,"False",725,"G",110,"P",1,0,0
"Earth","False","TRAPPIST-1e",44,"False",730,"F",135,"S",1,187,1817
"Earth","False","TRAPPIST-1e",19,"False",731,"F",136,"S",2,752,7
"Earth","False","TRAPPIST-1e",29,"False",731,"F",136,"S",2,336,485
"Mars","False","TRAPPIST-1e",25,"False",735,"F",155,"P",1,441,846
"Earth","False","TRAPPIST-1e",41,"False",739,"F",28.6721907900523,"S",1,0,885
"Earth","False","55 Cancri e",19,"False",741,"F",137,"S",1,224,1650
"Mars","False","TRAPPIST-1e",33,"False",742,"E",54,"S",2,4,1045
"Mars","True","TRAPPIST-1e",25,"False",742,"F",138,"S",2,0,0
"Europa","True","55 Cancri e",44,"False",744,"B",26,"S",1,0,0
"Earth","False","TRAPPIST-1e",21,"False",745,"E",45,"P",1,788,0
"Mars","False","TRAPPIST-1e",32,"False",747,"F",158,"P",1,1329,1195
"Mars","True","TRAPPIST-1e",33,"False",748,"F",139,"S",2,0,0
"Mars","False","TRAPPIST-1e",32,"False",748,"F",139,"S",2,2311,175
"Mars","True","TRAPPIST-1e",19,"False",749,"F",159,"P",1,0,0
"Mars","True","TRAPPIST-1e",21,"False",751,"F",141,"S",1,0,0
