"HomePlanet","CryoSleep","Destination","Age","VIP","Transported","Group_id","Deck","Num","Side","Group_size","LuxuryExpenses","RegularExpenses"
"Mars","False","TRAPPIST-1e",2,"False",1,31,"F",9,"P",2,0,0
"Europa","True","55 Cancri e",28,"False",1,34,"D",1,"S",1,0,0
"Mars","False","55 Cancri e",23,"False",0,35,"D",1,"P",1,1735,964
"Earth","False","55 Cancri e",15,"False",0,36,"F",8,"S",1,421,540
"Earth","False","55 Cancri e",20,"False",0,38,"F",10,"S",1,3160,195
"Earth","True","TRAPPIST-1e",17,"False",1,41,"G",2,"P",1,0,0
"Europa","False","TRAPPIST-1e",45,"False",0,43,"B",3,"P",1,3366,209
"Earth","True","TRAPPIST-1e",55,"False",0,44,"G",3,"P",3,0,0
"Earth","True","55 Cancri e",4,"False",1,44,"G",3,"P",3,0,0
"Earth","True","PSO J318.5-22",21,"False",1,44,"G",3,"P",3,0,0
"Mars","False","TRAPPIST-1e",21,"False",0,45,"F",10,"P",2,1034,180
"Mars","True","TRAPPIST-1e",19,"False",1,45,"F",10,"P",2,0,0
"Earth","False","TRAPPIST-1e",56,"False",0,51,"E",2,"S",1,1506,112
"Earth","False","TRAPPIST-1e",25,"False",1,53,"F",11,"S",1,1,1938
"Europa","False","TRAPPIST-1e",2,"False",1,56,"A",1,"S",3,0,0
"Europa","True","TRAPPIST-1e",38,"False",1,56,"A",1,"S",3,0,0
"Europa","False","TRAPPIST-1e",27,"False",1,56,"A",1,"S",3,568,3979
"Earth","True","PSO J318.5-22",36,"False",0,58,"G",7,"S",1,0,0
"Earth","False","TRAPPIST-1e",22,"False",0,61,"F",12,"S",1,1423,1244
"Earth","False","TRAPPIST-1e",62,"False",0,62,"F",13,"S",1,42,592
"Mars","True","TRAPPIST-1e",15,"False",1,64,"F",14,"S",1,0,0
"Earth","False","TRAPPIST-1e",62,"False",0,66,"G",6,"P",1,461,350
"Earth","True","PSO J318.5-22",0,"False",1,67,"G",10,"S",3,0,0
"Earth","False","TRAPPIST-1e",18,"False",1,67,"G",10,"S",3,1,704
"Earth","False","55 Cancri e",21,"False",0,67,"F",15,"S",3,1970,37
"Earth","False","TRAPPIST-1e",42,"False",1,69,"F",16,"S",1,893,9
"Earth","False","TRAPPIST-1e",19,"False",0,70,"F",13,"P",1,917,5
"Earth","False","TRAPPIST-1e",17,"False",0,71,"F",14,"P",1,68,2165
"Earth","False","TRAPPIST-1e",14,"False",0,72,"F",17,"S",1,1063,1
"Mars","False","PSO J318.5-22",37,"False",0,73,"D",3,"P",1,58,821
"Europa","False","TRAPPIST-1e",42,"False",1,74,"C",3,"S",1,507,8397
"Mars","False","TRAPPIST-1e",27,"False",1,76,"F",18,"S",1,147,1018
"Mars","False","TRAPPIST-1e",28,"False",1,77,"F",15,"P",1,14,1295
"Europa","False","TRAPPIST-1e",38,"False",0,78,"C",4,"S",1,9975,5840
"Earth","True","TRAPPIST-1e",13,"False",0,81,"G",13,"S",1,0,0
"Mars","False","TRAPPIST-1e",42,"False",0,82,"F",16,"P",3,7406,0
"Mars","True","TRAPPIST-1e",2,"False",1,82,"F",16,"P",3,0,0
"Mars","False","TRAPPIST-1e",8,"False",1,82,"F",16,"P",3,0,0
"Earth","False","TRAPPIST-1e",24,"False",1,84,"G",14,"S",1,705,0
"Europa","True","TRAPPIST-1e",40,"False",1,85,"C",5,"S",1,0,0
"Earth","False","TRAPPIST-1e",43,"False",0,86,"F",17,"P",1,1362,0
"Mars","True","PSO J318.5-22",45,"False",1,88,"E",5,"S",1,0,0
"Earth","True","TRAPPIST-1e",35,"False",1,90,"G",15,"S",1,0,0
"Earth","False","TRAPPIST-1e",27,"False",0,91,"F",20,"S",2,189,728
"Earth","False","TRAPPIST-1e",19,"False",0,92,"G",9,"P",3,35,670
"Earth","True","TRAPPIST-1e",3,"False",1,92,"G",9,"P",3,0,0
"Europa","False","TRAPPIST-1e",54,"False",0,97,"A",2,"S",1,640,1208
"Earth","False","TRAPPIST-1e",26,"False",0,98,"G",11,"P",2,32,861
"Earth","False","TRAPPIST-1e",26,"False",1,98,"G",11,"P",2,87,3768
"Earth","False","PSO J318.5-22",23,"False",0,99,"F",19,"P",2,348,953
"Earth","False","TRAPPIST-1e",2,"False",1,99,"G",12,"P",2,0,0
"Earth","False","TRAPPIST-1e",18,"False",0,102,"F",23,"S",1,921,0
"Earth","True","55 Cancri e",9,"False",1,103,"G",18,"S",3,0,0
"Earth","True","TRAPPIST-1e",6,"False",0,103,"G",18,"S",3,0,0
"Earth","False","TRAPPIST-1e",27,"False",0,105,"F",21,"P",1,133,570
"Mars","False","TRAPPIST-1e",21,"False",0,107,"D",2,"S",1,1743,22
"Earth","True","TRAPPIST-1e",23,"False",0,108,"G",19,"S",3,0,0
"Earth","False","TRAPPIST-1e",31,"False",0,108,"G",19,"S",3,562,326
"Earth","False","TRAPPIST-1e",0,"False",1,108,"G",19,"S",3,0,0
"Europa","False","TRAPPIST-1e",40,"False",0,110,"B",5,"P",4,1687,331
"Europa","False","TRAPPIST-1e",42,"False",1,110,"B",5,"P",4,4522,11418
"Europa","True","TRAPPIST-1e",28,"False",1,110,"B",5,"P",4,0,0
"Europa","True","TRAPPIST-1e",29,"False",1,111,"E",6,"S",1,0,0
"Europa","False","55 Cancri e",48,"True",1,112,"B",1,"S",1,30,2624
"Earth","False","TRAPPIST-1e",64,"False",1,113,"F",23,"P",1,0,804
"Earth","False","TRAPPIST-1e",27,"False",0,114,"G",20,"S",1,321,586
"Europa","False","TRAPPIST-1e",33,"False",1,116,"D",4,"P",1,417,2223
"Earth","False","TRAPPIST-1e",39,"False",0,119,"A",0,"P",2,6963,2344
"Europa","True","TRAPPIST-1e",13,"False",1,119,"A",0,"P",2,0,0
"Earth","False","TRAPPIST-1e",29,"False",0,122,"G",21,"S",1,773,0
"Earth","False","TRAPPIST-1e",18,"False",0,123,"F",27,"P",1,56,646
"Mars","True","TRAPPIST-1e",67,"False",1,126,"F",27,"S",1,0,0
"Mars","False","TRAPPIST-1e",35,"False",0,127,"E",7,"S",1,726,296
"Mars","False","TRAPPIST-1e",61,"True",0,128,"D",3,"S",2,2671,343
"Mars","False","TRAPPIST-1e",45,"False",0,128,"E",8,"S",2,2103,6
"Mars","True","TRAPPIST-1e",19,"False",1,133,"F",29,"S",2,0,0
"Mars","False","TRAPPIST-1e",36,"False",0,133,"D",5,"S",2,2738,0
"Earth","False","TRAPPIST-1e",19,"False",1,134,"G",17,"P",1,0,744
"Earth","False","PSO J318.5-22",47,"False",0,136,"G",23,"S",1,177,544
"Earth","True","TRAPPIST-1e",13,"False",1,138,"G",18,"P",2,0,0
"Earth","False","TRAPPIST-1e",34,"False",0,138,"E",5,"P",2,771,22
"Europa","True","55 Cancri e",35,"False",1,139,"C",6,"S",1,0,0
"Earth","True","TRAPPIST-1e",24,"False",1,140,"G",19,"P",2,0,0
"Earth","False","TRAPPIST-1e",26,"False",0,140,"F",29,"P",2,902,0
"Earth","False","TRAPPIST-1e",20,"False",1,144,"F",31,"S",1,0,630
"Earth","False","TRAPPIST-1e",56,"False",0,146,"G",25,"S",1,0,0
"Earth","True","TRAPPIST-1e",50,"False",1,147,"G",26,"S",1,0,0
"Mars","False","TRAPPIST-1e",42,"False",0,148,"F",31,"P",1,1148,10
"Earth","True","55 Cancri e",38,"False",0,151,"G",20,"P",1,0,0
"Earth","False","TRAPPIST-1e",41,"False",0,152,"F",32,"P",1,607,0
"Earth","False","TRAPPIST-1e",22,"False",0,160,"G",22,"P",1,4180,0
"Europa","True","TRAPPIST-1e",26,"False",1,163,"B",8,"P",2,0,0
"Europa","True","TRAPPIST-1e",17,"False",1,163,"B",8,"P",2,0,0
"Earth","True","PSO J318.5-22",17,"False",0,164,"G",28,"S",2,0,0
"Mars","True","TRAPPIST-1e",35,"False",1,165,"F",37,"P",1,0,0
"Mars","True","TRAPPIST-1e",13,"False",1,167,"F",35,"S",2,0,0
"Mars","False","TRAPPIST-1e",27,"False",0,167,"F",35,"S",2,1524,48
"Earth","True","TRAPPIST-1e",31,"False",0,169,"G",23,"P",1,0,0
"Earth","False","TRAPPIST-1e",24,"False",0,170,"E",10,"S",1,788,0
"Earth","True","PSO J318.5-22",19,"False",1,171,"G",30,"S",1,0,0
"Earth","True","TRAPPIST-1e",32,"False",1,172,"G",24,"P",1,0,0
"Earth","False","TRAPPIST-1e",58,"False",1,173,"E",11,"S",1,5,985
"Earth","False","55 Cancri e",21,"False",0,174,"F",38,"P",1,577,16
"Europa","False","TRAPPIST-1e",38,"False",0,177,"B",2,"S",1,17081,10347
"Mars","False","TRAPPIST-1e",38,"False",0,178,"D",6,"S",1,3561,161
"Earth","False","TRAPPIST-1e",19,"False",1,179,"G",26,"P",3,14,892
"Earth","False","TRAPPIST-1e",0,"False",0,179,"G",26,"P",3,0,0
"Earth","False","TRAPPIST-1e",3,"False",1,179,"G",26,"P",3,0,0
"Earth","False","TRAPPIST-1e",20,"False",0,181,"G",27,"P",1,391,3
"Europa","True","TRAPPIST-1e",24,"False",1,182,"C",3,"P",1,0,0
"Earth","False","TRAPPIST-1e",37,"False",1,183,"F",36,"S",1,249,572
"Earth","False","TRAPPIST-1e",25,"False",0,186,"G",28,"P",1,1018,0
"Earth","True","TRAPPIST-1e",56,"False",1,188,"G",31,"S",1,0,0
"Earth","False","55 Cancri e",49,"False",0,189,"E",8,"P",1,384,404
"Earth","True","55 Cancri e",11,"False",0,190,"G",32,"S",1,0,0
"Earth","True","TRAPPIST-1e",1,"False",1,192,"G",29,"P",3,0,0
"Earth","False","TRAPPIST-1e",8,"False",0,192,"G",29,"P",3,0,0
"Earth","False","TRAPPIST-1e",39,"False",0,192,"G",29,"P",3,898,10
"Mars","True","TRAPPIST-1e",2,"False",1,193,"F",41,"P",3,0,0
"Mars","False","TRAPPIST-1e",0,"False",1,193,"F",41,"P",3,0,0
"Mars","False","TRAPPIST-1e",39,"False",1,195,"F",42,"P",1,406,867
"Mars","False","PSO J318.5-22",25,"False",0,196,"D",5,"P",1,1059,719
"Europa","False","TRAPPIST-1e",36,"False",0,197,"C",5,"P",1,1370,972
"Earth","False","PSO J318.5-22",52,"False",1,198,"G",30,"P",1,0,0
"Earth","True","TRAPPIST-1e",18,"False",0,199,"G",33,"S",1,0,0
"Earth","True","TRAPPIST-1e",15,"False",1,200,"G",31,"P",1,0,0
"Europa","True","TRAPPIST-1e",35,"False",1,201,"B",3,"S",2,0,0
"Europa","True","TRAPPIST-1e",47,"False",1,201,"B",3,"S",2,0,0
"Europa","True","55 Cancri e",45,"False",1,202,"B",9,"P",1,0,0
"Europa","True","TRAPPIST-1e",51,"False",1,203,"C",8,"S",1,0,0
"Earth","False","TRAPPIST-1e",29,"False",0,205,"G",34,"S",1,705,68
"Earth","True","PSO J318.5-22",19,"False",0,207,"G",32,"P",1,0,0
"Mars","False","TRAPPIST-1e",29,"False",1,211,"F",44,"P",3,902,138
"Mars","True","TRAPPIST-1e",11,"False",1,211,"F",44,"P",3,0,0
"Mars","False","TRAPPIST-1e",17,"False",0,211,"F",44,"P",3,1030,307
"Earth","False","TRAPPIST-1e",13,"False",0,212,"E",9,"P",2,982,0
"Earth","False","TRAPPIST-1e",35,"False",0,212,"F",45,"P",2,544,188
"Earth","False","TRAPPIST-1e",21,"False",0,213,"F",46,"P",1,513,281
"Earth","False","55 Cancri e",21,"False",0,216,"F",40,"S",1,1918,56
"Earth","False","TRAPPIST-1e",38,"False",0,217,"F",47,"P",1,1544,0
"Earth","True","TRAPPIST-1e",19,"False",1,219,"G",36,"P",1,0,0
"Earth","True","TRAPPIST-1e",2,"False",1,220,"G",37,"P",7,0,0
"Earth","False","TRAPPIST-1e",0,"False",1,220,"G",37,"P",7,0,0
"Earth","True","TRAPPIST-1e",13,"False",0,220,"G",37,"P",7,0,0
"Earth","False","TRAPPIST-1e",16,"False",0,220,"F",48,"P",7,1099,3
"Earth","False","55 Cancri e",1,"False",0,220,"G",37,"P",7,0,0
"Earth","True","TRAPPIST-1e",15,"False",1,220,"G",37,"P",7,0,0
"Mars","False","55 Cancri e",21,"False",0,221,"E",13,"S",7,2237,119
"Mars","False","TRAPPIST-1e",23,"False",0,221,"E",13,"S",7,1217,81
"Mars","False","TRAPPIST-1e",33,"False",0,221,"E",13,"S",7,1934,200
"Mars","True","TRAPPIST-1e",21,"False",1,221,"E",13,"S",7,0,0
"Mars","False","TRAPPIST-1e",41,"False",0,221,"E",13,"S",7,2296,301
"Mars","False","TRAPPIST-1e",16,"False",0,221,"E",13,"S",7,1149,221
"Mars","True","TRAPPIST-1e",42,"False",0,221,"E",13,"S",7,0,0
"Mars","False","TRAPPIST-1e",20,"False",0,222,"F",41,"S",3,1417,0
"Mars","True","TRAPPIST-1e",24,"False",1,222,"F",41,"S",3,0,0
"Mars","True","TRAPPIST-1e",16,"False",1,222,"E",14,"S",3,0,0
"Earth","False","TRAPPIST-1e",21,"False",0,223,"G",35,"S",1,9,667
"Mars","False","TRAPPIST-1e",32,"True",0,224,"F",42,"S",1,1815,5
"Earth","True","PSO J318.5-22",58,"False",1,225,"G",38,"P",1,0,0
"Earth","False","TRAPPIST-1e",24,"False",0,229,"F",43,"S",1,796,7
"Mars","False","TRAPPIST-1e",30,"False",0,231,"F",44,"S",1,1805,1
"Mars","False","TRAPPIST-1e",32,"False",0,233,"F",45,"S",1,1494,256
"Europa","True","TRAPPIST-1e",42,"False",1,237,"B",11,"P",1,0,0
"Mars","True","TRAPPIST-1e",35,"False",1,240,"F",52,"P",1,0,0
"Europa","False","55 Cancri e",33,"False",0,241,"E",11,"P",1,5928,1249
"Earth","False","TRAPPIST-1e",18,"False",0,242,"F",46,"S",1,596,692
"Earth","True","TRAPPIST-1e",21,"False",0,243,"G",37,"S",1,0,0
"Mars","True","55 Cancri e",14,"False",1,244,"F",47,"S",2,0,0
"Europa","False","55 Cancri e",46,"False",1,245,"C",6,"P",2,7,3571
"Europa","False","TRAPPIST-1e",33,"False",0,245,"C",6,"P",2,11496,882
"Mars","False","TRAPPIST-1e",21,"False",0,246,"D",8,"P",1,2974,287
"Europa","False","TRAPPIST-1e",33,"False",0,248,"C",10,"S",1,9683,1
"Earth","True","55 Cancri e",54,"False",1,251,"C",11,"S",1,0,0
"Earth","False","TRAPPIST-1e",30,"False",0,252,"F",53,"P",1,335,1236
"Earth","False","TRAPPIST-1e",29,"False",0,253,"G",42,"P",1,273,615
"Earth","False","TRAPPIST-1e",21,"False",1,254,"F",54,"P",1,710,580
"Europa","True","TRAPPIST-1e",24,"False",1,255,"A",3,"S",1,0,0
"Mars","True","TRAPPIST-1e",60,"False",1,257,"F",49,"S",2,0,0
"Earth","False","TRAPPIST-1e",22,"False",0,258,"F",50,"S",1,391,313
"Europa","False","TRAPPIST-1e",26,"False",0,260,"E",16,"S",1,3035,4810
"Earth","False","TRAPPIST-1e",26,"False",0,261,"F",56,"P",1,869,29
"Earth","True","TRAPPIST-1e",28,"False",1,263,"G",43,"P",1,0,0
"Earth","False","TRAPPIST-1e",13,"False",0,267,"F",51,"S",1,873,0
"Earth","False","55 Cancri e",47,"False",1,269,"F",52,"S",1,0,823
"Earth","False","TRAPPIST-1e",63,"False",0,270,"F",59,"P",1,1240,153
"Earth","False","55 Cancri e",50,"False",1,277,"F",61,"P",1,97,2390
"Earth","False","TRAPPIST-1e",45,"False",0,278,"G",45,"P",2,347,97
"Earth","False","TRAPPIST-1e",19,"False",1,281,"F",63,"P",1,0,2078
"Earth","False","TRAPPIST-1e",21,"False",1,282,"F",54,"S",1,0,918
"Earth","True","PSO J318.5-22",29,"False",1,283,"G",46,"P",2,0,0
"Earth","False","TRAPPIST-1e",22,"False",1,283,"F",64,"P",2,148,655
"Europa","True","TRAPPIST-1e",14,"False",1,285,"E",16,"P",2,0,0
"Europa","True","55 Cancri e",42,"False",1,285,"E",16,"P",2,0,0
"Earth","False","55 Cancri e",57,"False",0,286,"F",65,"P",1,178,1310
"Europa","False","TRAPPIST-1e",28,"False",0,287,"B",12,"P",2,1466,619
"Earth","False","55 Cancri e",19,"False",0,288,"F",55,"S",1,828,0
"Europa","True","55 Cancri e",19,"False",1,289,"C",12,"S",1,0,0
"Europa","False","55 Cancri e",26,"False",1,290,"B",7,"S",4,1419,4458
"Europa","True","TRAPPIST-1e",17,"False",1,290,"B",7,"S",4,0,0
"Europa","False","TRAPPIST-1e",43,"False",1,290,"B",7,"S",4,0,0
"Europa","False","55 Cancri e",9,"False",1,290,"B",7,"S",4,0,0
"Europa","False","TRAPPIST-1e",40,"False",1,291,"D",10,"S",1,1090,6588
"Earth","False","TRAPPIST-1e",24,"False",1,297,"G",47,"P",1,107,1326
"Europa","True","55 Cancri e",57,"False",1,298,"A",3,"P",1,0,0
"Earth","False","TRAPPIST-1e",23,"False",0,302,"F",67,"P",1,1370,15
"Earth","True","TRAPPIST-1e",23,"False",1,303,"G",41,"S",1,0,0
"Europa","False","TRAPPIST-1e",28,"False",0,304,"E",18,"S",1,7017,422
"Europa","False","55 Cancri e",23,"False",0,305,"C",7,"P",1,2489,584
"Earth","False","TRAPPIST-1e",23,"False",0,306,"E",19,"S",1,470,434
"Earth","False","TRAPPIST-1e",18,"False",1,307,"F",59,"S",1,0,1359
"Earth","False","TRAPPIST-1e",18,"False",0,309,"F",60,"S",1,1200,157
"Earth","False","PSO J318.5-22",60,"False",1,313,"F",68,"P",4,11,541
"Earth","False","55 Cancri e",49,"False",1,313,"F",68,"P",4,649,0
"Earth","False","55 Cancri e",0,"False",1,313,"G",50,"P",4,0,0
"Earth","False","55 Cancri e",26,"False",0,314,"G",51,"P",1,1716,74
"Earth","True","PSO J318.5-22",35,"False",1,315,"G",42,"S",1,0,0
"Earth","False","TRAPPIST-1e",59,"True",0,321,"F",61,"S",1,1018,209
"Earth","True","PSO J318.5-22",13,"False",0,322,"G",45,"S",1,0,0
"Earth","True","55 Cancri e",43,"False",0,324,"G",53,"P",1,0,0
"Earth","True","TRAPPIST-1e",29,"False",0,326,"G",47,"S",1,0,0
"Europa","False","TRAPPIST-1e",2,"False",1,330,"C",14,"S",3,0,0
"Europa","False","TRAPPIST-1e",32,"False",1,330,"C",14,"S",3,495,4651
"Europa","False","TRAPPIST-1e",33,"False",0,330,"C",14,"S",3,1851,317
"Earth","False","TRAPPIST-1e",25,"False",0,331,"F",72,"P",1,552,251
"Mars","True","55 Cancri e",29,"False",1,333,"F",73,"P",1,0,0
"Mars","False","TRAPPIST-1e",29,"False",0,334,"F",62,"S",1,7191,213
"Earth","False","TRAPPIST-1e",44,"False",0,336,"F",74,"P",1,695,17
"Mars","True","55 Cancri e",2,"False",1,337,"F",63,"S",3,0,0
"Mars","False","TRAPPIST-1e",19,"False",1,337,"F",63,"S",3,1477,983
"Mars","False","55 Cancri e",0,"False",1,337,"F",63,"S",3,0,0
"Europa","True","55 Cancri e",38,"False",1,340,"B",10,"S",1,0,0
"Earth","True","PSO J318.5-22",5,"False",0,341,"G",57,"P",1,0,0
"Earth","False","PSO J318.5-22",31,"False",0,343,"F",76,"P",1,1302,0
"Mars","True","TRAPPIST-1e",30,"False",0,345,"E",21,"S",1,0,0
"Earth","True","55 Cancri e",15,"False",1,346,"G",59,"P",1,0,0
"Mars","False","TRAPPIST-1e",27,"False",0,347,"F",64,"S",1,434,1434
"Mars","False","TRAPPIST-1e",22,"False",1,348,"D",12,"P",1,145,3078
"Earth","True","PSO J318.5-22",14,"False",1,350,"G",60,"P",1,0,0
"Mars","False","TRAPPIST-1e",23,"False",0,352,"F",78,"P",1,2001,2975
"Europa","True","55 Cancri e",36,"False",1,356,"B",15,"P",1,0,0
"Earth","True","TRAPPIST-1e",50,"False",1,358,"G",50,"S",2,0,0
"Earth","True","PSO J318.5-22",32,"False",1,358,"G",50,"S",2,0,0
"Earth","False","PSO J318.5-22",26,"False",0,359,"F",66,"S",1,236,453
"Earth","False","TRAPPIST-1e",15,"False",0,360,"F",67,"S",1,470,245
"Earth","False","55 Cancri e",33,"False",1,361,"F",68,"S",1,697,36
"Mars","False","TRAPPIST-1e",26,"False",0,368,"F",82,"P",2,2851,4554
"Mars","True","TRAPPIST-1e",61,"False",1,368,"F",82,"P",2,0,0
"Earth","False","TRAPPIST-1e",24,"False",1,369,"G",53,"S",1,235,592
"Earth","False","TRAPPIST-1e",30,"False",0,370,"F",83,"P",1,1464,95
"Mars","True","TRAPPIST-1e",24,"False",1,371,"F",84,"P",1,0,0
"Earth","False","TRAPPIST-1e",24,"False",0,372,"F",85,"P",1,2766,5
"Earth","True","TRAPPIST-1e",41,"False",0,373,"G",62,"P",1,0,0
"Earth","False","TRAPPIST-1e",20,"False",0,375,"E",22,"P",1,230,558
"Earth","False","TRAPPIST-1e",22,"False",1,376,"G",54,"S",1,122,786
"Europa","False","55 Cancri e",63,"False",0,377,"C",15,"S",1,8364,1068
"Europa","False","55 Cancri e",18,"False",0,378,"B",11,"S",7,5846,219
"Europa","True","55 Cancri e",21,"False",1,378,"B",11,"S",7,0,0
"Europa","False","TRAPPIST-1e",79,"False",0,378,"B",11,"S",7,10403,242
"Europa","True","TRAPPIST-1e",56,"False",1,378,"B",11,"S",7,0,0
"Europa","True","TRAPPIST-1e",13,"False",1,378,"B",11,"S",7,0,0
"Europa","False","TRAPPIST-1e",33,"False",0,378,"B",11,"S",7,2232,2497
"Europa","True","TRAPPIST-1e",32,"False",1,378,"B",11,"S",7,0,0
"Earth","False","TRAPPIST-1e",31,"False",1,379,"G",63,"P",1,362,591
"Europa","True","55 Cancri e",18,"False",1,381,"B",16,"P",1,0,0
"Earth","False","TRAPPIST-1e",23,"False",0,382,"G",64,"P",1,720,0
"Earth","False","TRAPPIST-1e",28,"False",0,383,"G",55,"S",2,3915,773
"Earth","True","PSO J318.5-22",34,"False",0,383,"G",55,"S",2,0,0
"Earth","False","55 Cancri e",0,"False",1,384,"G",56,"S",2,0,0
"Earth","False","TRAPPIST-1e",14,"False",1,384,"G",56,"S",2,28,881
"Earth","False","TRAPPIST-1e",23,"False",0,385,"G",65,"P",1,141,747
"Earth","True","TRAPPIST-1e",49,"False",0,387,"G",66,"P",1,0,0
"Earth","True","TRAPPIST-1e",14,"False",0,388,"G",57,"S",1,0,0
"Earth","False","TRAPPIST-1e",18,"False",0,389,"E",23,"P",1,391,400
"Europa","False","PSO J318.5-22",27,"True",1,391,"C",9,"P",1,1056,5728
"Earth","False","TRAPPIST-1e",48,"False",0,392,"E",24,"P",1,1508,111
"Europa","False","55 Cancri e",31,"True",0,395,"B",17,"P",2,13845,11555
"Europa","False","55 Cancri e",61,"False",0,395,"B",17,"P",2,3837,608
"Earth","True","TRAPPIST-1e",18,"False",1,396,"G",59,"S",1,0,0
"Mars","True","TRAPPIST-1e",45,"False",1,397,"F",69,"S",1,0,0
"Mars","False","TRAPPIST-1e",22,"False",0,398,"D",13,"S",1,6042,456
"Mars","False","TRAPPIST-1e",30,"True",0,401,"D",14,"S",2,1056,0
"Mars","False","TRAPPIST-1e",30,"False",0,401,"D",14,"S",2,1783,0
"Earth","True","55 Cancri e",32,"True",1,402,"D",15,"S",1,0,0
"Mars","False","TRAPPIST-1e",43,"True",1,403,"D",13,"P",1,355,896
"Earth","False","TRAPPIST-1e",20,"False",0,407,"F",90,"P",3,228,465
"Earth","True","TRAPPIST-1e",39,"False",0,407,"G",69,"P",3,0,0
"Mars","False","TRAPPIST-1e",35,"False",0,408,"E",25,"P",1,1134,165
"Mars","False","TRAPPIST-1e",31,"False",0,409,"F",71,"S",1,2,1116
"Earth","False","55 Cancri e",21,"False",0,410,"F",72,"S",1,567,150
"Earth","False","TRAPPIST-1e",16,"False",0,411,"F",91,"P",1,831,101
"Europa","False","TRAPPIST-1e",60,"False",1,412,"C",11,"P",1,1537,13207
"Earth","False","TRAPPIST-1e",18,"False",0,413,"F",92,"P",1,412,157
"Earth","True","TRAPPIST-1e",42,"False",0,415,"G",60,"S",1,0,0
"Europa","True","55 Cancri e",68,"False",1,417,"B",18,"P",3,0,0
"Europa","False","55 Cancri e",22,"False",0,417,"B",18,"P",3,6708,1170
"Europa","True","TRAPPIST-1e",59,"False",1,417,"B",18,"P",3,0,0
"Mars","False","TRAPPIST-1e",37,"False",0,425,"F",96,"P",3,1129,28
"Mars","True","TRAPPIST-1e",3,"False",1,425,"F",96,"P",3,0,0
"Mars","True","TRAPPIST-1e",31,"False",1,425,"F",96,"P",3,0,0
"Europa","False","TRAPPIST-1e",29,"False",1,428,"C",16,"S",1,3854,4118
"Europa","False","55 Cancri e",20,"False",1,429,"A",5,"S",2,229,10116
"Europa","True","55 Cancri e",46,"False",1,429,"A",5,"S",2,0,0
"Earth","False","TRAPPIST-1e",29,"False",1,430,"F",75,"S",1,16,1026
"Mars","True","TRAPPIST-1e",43,"False",1,431,"F",97,"P",1,0,0
"Mars","False","TRAPPIST-1e",17,"False",0,432,"F",76,"S",1,1483,10
"Europa","False","55 Cancri e",27,"False",1,433,"B",20,"P",2,0,0
"Europa","False","TRAPPIST-1e",47,"False",0,433,"B",20,"P",2,6622,891
"Mars","True","TRAPPIST-1e",45,"False",1,434,"F",77,"S",1,0,0
"Earth","True","TRAPPIST-1e",17,"False",1,435,"G",62,"S",1,0,0
"Earth","False","55 Cancri e",10,"False",1,436,"G",63,"S",2,0,0
"Earth","False","PSO J318.5-22",56,"False",0,436,"G",63,"S",2,668,11
"Earth","False","TRAPPIST-1e",39,"False",0,437,"F",78,"S",2,849,22
